generation,best,average,worst
0,-398543.0,-2074562.13,-4282401.0
1,-184117.0,-876430.295,-2016067.0
2,-165311.0,-544859.505,-1309331.0
3,-109810.0,-402093.465,-1346677.0
4,-80847.0,-371081.315,-970575.0
5,-77240.0,-364827.5,-1385571.0
6,-71333.0,-383921.105,-982194.0
7,-71397.0,-363179.58,-890294.0
8,-71572.0,-320781.13,-1124978.0
9,-58163.0,-347923.95,-1296372.0
10,-53741.0,-340387.855,-1293943.0
11,-35226.0,-323534.315,-1019922.0
12,-14664.0,-300664.825,-909084.0
13,6686.0,-303073.59,-975050.0
14,-11096.0,-267300.905,-942719.0
15,13039.0,-267833.17,-1003821.0
16,26360.0,-286646.145,-1443715.0
17,15624.0,-286380.785,-1000321.0
18,16624.0,-244778.56,-912733.0
19,7905.000000000004,-262624.665,-915637.0
20,22187.000000000004,-243857.695,-991596.0
21,39575.0,-205628.815,-1044975.0
22,41955.0,-218485.055,-1149858.0
23,56956.0,-196096.745,-921559.0
24,42969.0,-217369.49,-849655.0
25,66152.0,-188394.28,-726062.0
26,72146.0,-208062.945,-1031713.0
27,80589.0,-198358.73,-1147413.0
28,91673.0,-176406.22,-942084.0
29,91755.0,-200209.65,-865541.0
30,97519.0,-189235.885,-1123089.0
31,90883.0,-164293.075,-873355.0
32,78671.0,-188530.445,-880158.0
33,84443.0,-176399.91,-961583.0
34,86947.0,-168414.84,-682924.0
35,98781.0,-176395.23,-1079714.0
36,96544.0,-194952.135,-777636.0
37,96309.0,-175398.965,-838607.0
38,119295.0,-172285.075,-994357.0
39,111164.0,-160261.315,-969471.0
40,112640.0,-151830.7,-1122655.0
41,124869.0,-157605.845,-816854.0
42,133766.0,-164694.08,-765606.0
43,129947.0,-178984.185,-884192.0
44,116709.0,-159107.21,-826170.0
45,128265.0,-158865.08,-867268.0
46,112043.0,-169211.46,-987554.0
47,121137.0,-149598.93,-835806.0
48,115992.0,-192254.31,-781171.0
49,139653.0,-151068.875,-719773.0
50,124831.0,-156101.865,-734280.0
51,123194.0,-148656.66,-827047.0
52,124122.0,-142756.89,-781221.0
53,135293.0,-139997.825,-760572.0
54,152670.0,-138419.24,-934956.0
55,136075.0,-163277.535,-1029455.0
56,129771.0,-136443.27,-722577.0
57,135359.0,-177690.24,-875820.0
58,133865.0,-129854.68,-876894.0
59,148692.0,-95921.645,-1172168.0
60,136263.0,-120578.995,-709089.0
61,147524.0,-141185.765,-884885.0
62,146672.0,-133820.445,-731329.0
63,136526.0,-178787.595,-818378.0
64,138414.0,-137696.61,-873138.0
65,127421.0,-135232.115,-933829.0
66,130287.0,-116963.92,-658512.0
67,146109.0,-117292.32,-804753.0
68,143357.0,-97523.39,-706883.0
69,163813.0,-117080.38,-818034.0
70,151782.0,-107990.895,-695895.0
71,164107.0,-112115.77,-931012.0
72,162503.0,-119163.645,-775338.0
73,163748.0,-98261.955,-1035840.0
74,164915.0,-76185.17,-616845.0
75,171288.0,-95702.975,-693810.0
76,173827.0,-68482.45,-693013.0
77,194021.0,-40525.725,-586850.0
78,185226.0,-57761.195,-662345.0
79,190942.0,-88805.48,-885897.0
80,199890.0,-60325.24,-679860.0
81,211433.0,-65284.55,-754470.0
82,204248.0,-33334.08,-746241.0
83,203890.0,-45393.72,-839395.0
84,211573.0,-30433.41,-826858.0
85,223224.0,-70444.01,-705599.0
86,224499.0,-53756.335,-684469.0
87,225833.0,-39821.555,-755425.0
88,208059.0,-56936.59,-831407.0
89,200360.0,-29697.535,-584775.0
90,204891.0,-59057.615,-805408.0
91,221781.0,-12182.3,-554733.0
92,222731.0,-24086.345,-648828.0
93,221781.0,-19865.56,-694932.0
94,218436.0,-46475.645,-1023124.0
95,218436.0,-35042.865,-760272.0
96,202655.0,-41901.29,-679025.0
97,210688.0,-20926.29,-759394.0
98,215289.0,-29464.175,-880631.0
99,211671.0,-35469.405,-803820.0
100,227041.0,-23011.9,-644407.0
101,230206.0,-38511.875,-784471.0
102,222609.0,-36840.41,-650611.0
103,226762.0,-16275.065,-753955.0
104,237295.0,-9279.04,-734833.0
105,237295.0,-21727.005,-558618.0
106,229188.0,-17974.39,-739458.0
107,225190.0,-50643.945,-759947.0
108,229569.0,4190.765,-655004.0
109,228376.0,-10450.49,-654188.0
110,229445.0,-12216.88,-664929.0
111,227551.0,-8488.325,-820881.0
112,227551.0,-13314.22,-631267.0
113,227551.0,1936.385,-769704.0
114,227551.0,-12922.055,-656631.0
115,227551.0,-4544.17,-615297.0
116,228790.0,4965.71,-615750.0
117,227551.0,-8289.435,-670231.0
118,222256.0,-6490.655,-477490.0
119,221667.0,4428.455,-503985.0
120,221995.0,-32320.43,-725235.0
121,221995.0,8175.12,-730467.0
122,224652.0,-7228.59,-671253.0
123,225937.0,13582.385,-617792.0
124,226919.0,-19274.575,-557192.0
125,228363.0,-20433.05,-748291.0
126,228376.0,-15982.755,-659197.0
127,228602.0,14984.385,-540311.0
128,234436.0,13025.73,-659520.0
129,230260.0,-38122.275,-785423.0
130,224596.0,-15822.445,-490623.0
131,231191.0,-17210.905,-539581.0
132,237488.0,-39475.72,-630475.0
133,237488.0,-7211.31,-719260.0
134,237488.0,-11813.505,-612122.0
135,238298.0,-516.455,-660581.0
136,238298.0,3565.275,-538656.0
137,238298.0,-348.745,-520247.0
138,238298.0,18167.905,-640043.0
139,238298.0,15157.805,-546934.0
140,240291.0,38754.16,-501240.0
141,243929.0,32862.69,-423354.0
142,238060.0,1007.13,-527603.0
143,240827.0,12266.065,-504293.0
144,240927.0,-18582.48,-593270.0
145,240827.0,29400.295,-532731.0
146,242109.0,-333.54,-488337.0
147,242109.0,1195.905,-621095.0
148,242109.0,-9047.93,-557424.0
149,242109.0,-613.06,-688183.0
150,239603.0,2987.845,-543571.0
151,235301.0,33245.625,-697083.0
152,239920.0,36730.975,-708685.0
153,251464.0,17700.625,-604159.0
154,251464.0,37261.06,-454326.0
155,245770.0,30438.735,-492008.0
156,249819.0,41390.655,-542259.0
157,246095.0,24208.805,-506412.0
158,246095.0,36135.665,-440319.0
159,255011.0,47220.885,-506543.0
160,255011.0,53735.555,-626197.0
161,255011.0,49427.79,-822825.0
162,255070.0,47041.785,-606696.0
163,255011.0,71645.145,-700731.0
164,255011.0,74521.86,-510479.0
165,255011.0,40757.67,-517844.0
166,260181.0,76060.695,-620102.0
167,260181.0,43514.85,-498212.0
168,260181.0,38546.425,-591245.0
169,260181.0,68657.51,-401498.0
170,260181.0,48418.735,-513111.0
171,260181.0,31172.67,-534853.0
172,260511.0,70612.15,-310757.0
173,260511.0,23422.095,-500333.0
174,267463.0,26495.16,-508229.0
175,267463.0,31490.325,-614805.0
176,267894.0,30146.215,-544294.0
177,267894.0,45275.58,-524922.0
178,265569.0,32189.73,-429789.0
179,268390.0,42139.16,-628827.0
180,268390.0,51165.395,-488660.0
181,268390.0,54322.67,-407723.0
182,270814.0,70242.355,-448062.0
183,270814.0,69649.94,-431889.0
184,270814.0,81633.13,-472594.0
185,270814.0,66661.46,-374653.0
186,271112.0,87757.48,-461047.0
187,270814.0,80094.395,-481952.0
188,270814.0,84552.48,-675744.0
189,270814.0,82573.315,-538438.0
190,270814.0,75697.5,-467850.0
191,278003.0,63054.54,-704071.0
192,278003.0,80402.495,-894733.0
193,278003.0,74428.435,-609217.0
194,278003.0,52898.835,-454179.0
195,278875.0,62307.22,-665751.0
196,278875.0,75516.57,-605269.0
197,278875.0,68575.11,-474265.0
198,278875.0,93720.825,-452614.0
199,278875.0,61767.515,-510616.0
200,278875.0,73638.715,-391282.0
201,278875.0,92462.02,-509365.0
202,278875.0,80445.675,-381324.0
203,278875.0,76116.24,-528938.0
204,278875.0,89329.895,-473574.0
205,278875.0,39761.85,-717276.0
206,280511.0,86943.06,-554231.0
207,280511.0,72090.015,-572186.0
208,280511.0,111020.705,-498039.0
209,281460.0,88329.055,-803530.0
210,281460.0,59816.015,-512525.0
211,282446.0,86708.96,-391663.0
212,282737.0,91110.155,-418030.0
213,284373.0,85509.285,-417099.0
214,286308.0,88473.655,-404871.0
215,286308.0,88667.92,-460244.0
216,287496.0,78033.24,-426947.0
217,287496.0,108634.11,-457494.0
218,287496.0,86870.54,-665060.0
219,287496.0,100173.87,-452050.0
220,287496.0,93323.14,-606254.0
221,288698.0,115677.07,-463702.0
222,288808.0,94737.15,-466561.0
223,292482.0,116397.67,-485254.0
224,296441.0,96802.68,-479204.0
225,296441.0,104179.695,-433588.0
226,298409.0,119071.695,-260863.0
227,298409.0,111918.345,-364156.0
228,298409.0,102777.74,-448010.0
229,298409.0,117173.455,-547065.0
230,298409.0,128645.935,-660803.0
231,298409.0,113063.295,-399706.0
232,298409.0,123905.16,-492385.0
233,298409.0,112332.9,-473024.0
234,298409.0,121820.8,-456083.0
235,298409.0,116419.77,-388026.0
236,299631.0,129818.86,-457218.0
237,299631.0,136112.975,-414608.0
238,299631.0,119208.515,-782657.0
239,299631.0,87985.68,-556211.0
240,299631.0,122630.66,-558795.0
241,299631.0,117587.8,-445000.0
242,299631.0,127872.265,-659454.0
243,299631.0,114348.255,-647051.0
244,299631.0,106495.02,-552580.0
245,299631.0,97409.285,-470633.0
246,299631.0,112489.195,-465181.0
247,299631.0,130874.985,-450835.0
248,299631.0,113173.58,-541176.0
249,299631.0,125578.22,-448159.0
250,299631.0,121364.7,-366009.0
251,299631.0,133842.425,-328308.0
252,299631.0,129598.35,-348809.0
253,299631.0,121611.485,-353616.0
254,299631.0,145540.955,-481444.0
255,299631.0,135874.815,-344923.0
256,299631.0,150046.04,-440597.0
257,299631.0,129387.625,-456281.0
258,299631.0,146009.735,-364362.0
259,300553.0,140854.965,-550562.0
260,300553.0,133870.805,-569338.0
261,300553.0,148057.925,-359945.0
262,300553.0,119916.225,-441053.0
263,300553.0,142660.59,-447720.0
264,300553.0,145962.72,-556103.0
265,300553.0,149687.09,-440297.0
266,300553.0,145197.385,-257746.0
267,300553.0,134997.885,-619201.0
268,300553.0,139851.93,-454764.0
269,302652.0,159550.885,-459407.0
270,302652.0,142041.465,-470020.0
271,302652.0,137487.005,-336358.0
272,302652.0,146506.51,-494213.0
273,302652.0,143592.61,-576560.0
274,302652.0,164943.13,-457996.0
275,302652.0,141912.055,-341814.0
276,302652.0,140852.485,-621911.0
277,306182.0,138694.925,-414478.0
278,306182.0,150191.77,-469755.0
279,306182.0,152373.02,-446228.0
280,306718.0,146215.88,-372107.0
281,306718.0,139401.365,-460415.0
282,306718.0,134233.145,-579194.0
283,306718.0,154534.17,-430711.0
284,306718.0,146377.2,-433297.0
285,306718.0,147036.865,-437477.0
286,306718.0,176715.375,-259938.0
287,306718.0,169637.04,-628650.0
288,306718.0,161215.06,-385545.0
289,306718.0,143632.165,-463433.0
290,306718.0,155459.34,-362212.0
291,306718.0,165082.96,-471120.0
292,306718.0,152668.13,-252789.0
293,306718.0,152186.015,-450194.0
294,306718.0,164585.14,-469222.0
295,306718.0,167166.82,-351909.0
296,306718.0,168183.48,-548209.0
297,306718.0,180534.48,-256153.0
298,306718.0,157219.005,-485752.0
299,306718.0,166102.64,-369191.0
300,306718.0,169166.165,-438818.0
301,306718.0,164575.75,-378904.0
302,306718.0,174450.065,-257347.0
303,307506.0,174484.8,-309954.0
304,309678.0,166522.46,-366005.0
305,309678.0,143056.49,-445065.0
306,309678.0,145923.945,-358634.0
307,309678.0,174393.605,-410095.0
308,309678.0,176119.205,-522427.0
309,309678.0,168065.43,-656996.0
310,309678.0,161472.92,-375736.0
311,309678.0,176560.655,-363746.0
312,309678.0,174845.22,-332277.0
313,309678.0,186936.105,-460343.0
314,309678.0,190204.44,-441104.0
315,309678.0,186893.395,-233751.0
316,309678.0,172257.12,-415251.0
317,309678.0,180394.675,-257850.0
318,309678.0,178451.355,-338138.0
319,309678.0,190072.175,-238037.0
320,309678.0,169633.61,-477647.0
321,309678.0,170539.08,-231368.0
322,309678.0,182251.015,-350072.0
323,309678.0,185007.18,-344973.0
324,309678.0,164395.885,-433632.0
325,309678.0,178263.56,-387522.0
326,309678.0,173673.555,-455738.0
327,309678.0,197292.95,-350072.0
328,309681.0,182866.94,-428502.0
329,309681.0,178136.875,-339679.0
330,309681.0,179023.31,-234574.0
331,309681.0,186628.595,-430792.0
332,309681.0,180823.305,-442576.0
333,309681.0,182078.075,-329258.0
334,309681.0,189292.435,-334353.0
335,309681.0,184005.71,-228528.0
336,309681.0,194778.135,-327900.0
337,309681.0,178370.915,-451627.0
338,309681.0,183457.64,-255282.0
339,309681.0,186467.605,-338386.0
340,309681.0,181788.155,-322992.0
341,309681.0,172149.125,-349512.0
342,310194.0,181456.925,-559236.0
343,310194.0,211438.655,-336789.0
344,310194.0,180037.3,-241576.0
345,310194.0,196998.535,-335138.0
346,310194.0,194309.87,-350136.0
347,310194.0,199717.205,-240528.0
348,310194.0,177651.5,-344698.0
349,311092.0,193825.795,-320895.0
350,314835.0,187868.365,-544837.0
351,314835.0,199050.28,-336810.0
352,315733.0,198198.17,-263965.0
353,315733.0,167598.04,-448058.0
354,315733.0,194398.355,-433461.0
355,315733.0,203539.875,-427023.0
356,315733.0,197105.625,-339084.0
357,315733.0,201695.72,-338176.0
358,315733.0,201274.405,-328498.0
359,315733.0,191030.08,-335204.0
360,316091.0,196091.39,-205112.0
361,316091.0,206999.03,-238002.0
362,316504.0,208396.435,-328253.0
363,316504.0,188646.36,-337992.0
364,316504.0,190320.505,-542787.0
365,316504.0,193030.655,-429496.0
366,316504.0,198434.71,-324864.0
367,316504.0,204478.09,-347898.0
368,316504.0,188327.46,-330725.0
369,316781.0,174352.485,-650021.0
370,316781.0,177125.02,-344720.0
371,316781.0,207166.38,-327879.0
372,316781.0,209292.295,-322859.0
373,316781.0,201060.645,-348900.0
374,316781.0,204206.8,-349817.0
375,316781.0,208129.82,-336324.0
376,316781.0,180992.785,-457353.0
377,316781.0,190471.655,-237405.0
378,316781.0,194583.385,-339705.0
379,316781.0,201115.75,-236446.0
380,316781.0,204502.075,-343195.0
381,316781.0,203141.155,-439388.0
382,316781.0,193047.095,-436290.0
383,316781.0,203620.255,-240329.0
384,316781.0,205386.85,-310911.0
385,316781.0,195186.705,-445476.0
386,317321.0,200517.88,-352852.0
387,317321.0,202127.575,-349946.0
388,317321.0,206053.235,-347736.0
389,317321.0,199763.17,-328150.0
390,317321.0,182354.68,-450459.0
391,317321.0,180432.7,-333059.0
392,317321.0,196718.91,-232803.0
393,317321.0,188294.125,-327604.0
394,317321.0,204178.73,-342637.0
395,317321.0,205403.83,-232830.0
396,317321.0,210047.445,-226236.0
397,317321.0,203691.455,-348189.0
398,317321.0,190001.225,-350250.0
399,317321.0,201467.115,-343758.0
400,317321.0,213048.18,-146581.0
401,318445.0,187737.02,-342265.0
402,318445.0,212557.695,-366370.0
403,318445.0,191960.105,-369358.0
404,318445.0,204812.005,-338152.0
405,318445.0,206026.095,-237358.0
406,318445.0,187787.77,-445439.0
407,318445.0,198465.295,-346932.0
408,318445.0,197332.355,-258916.0
409,318445.0,190769.8,-323603.0
410,318445.0,204807.02,-329253.0
411,318445.0,205358.29,-386872.0
412,318445.0,212401.59,-226484.0
413,318445.0,203625.315,-272182.0
414,318445.0,191605.745,-325314.0
415,318445.0,209223.25,-327174.0
416,318445.0,182622.99,-350590.0
417,318445.0,215510.775,-317061.0
418,318445.0,198219.23,-230304.0
419,318445.0,190633.07,-235209.0
420,318445.0,193795.565,-422969.0
421,318445.0,194042.265,-424353.0
422,318445.0,206916.53,-238314.0
423,318445.0,201303.615,-316490.0
424,318445.0,189641.21,-355963.0
425,318445.0,208578.92,-412489.0
426,318445.0,185056.865,-214313.0
427,318445.0,197027.895,-343317.0
428,318445.0,200403.47,-359453.0
429,318445.0,211110.405,-239110.0
430,318445.0,182484.575,-357188.0
431,318445.0,199195.35,-365536.0
432,318445.0,196999.295,-230382.0
433,318445.0,212142.495,-350178.0
434,318445.0,208908.14,-449146.0
435,318445.0,204904.955,-337548.0
436,318445.0,208222.955,-255212.0
437,318445.0,202967.405,-256728.0
438,318445.0,191740.48,-343479.0
439,318445.0,195443.815,-436578.0
440,318445.0,184699.445,-343294.0
441,318445.0,198604.88,-221260.0
442,318445.0,189287.34,-336196.0
443,318445.0,206360.515,-427504.0
444,318445.0,205365.085,-362008.0
445,318445.0,178872.53,-337927.0
446,318445.0,199306.025,-344700.0
447,318445.0,184238.29,-233879.0
448,318445.0,214946.635,-336727.0
449,318445.0,192631.64,-332467.0
450,318445.0,205082.63,-218267.0
451,318445.0,209299.065,-331735.0
452,318445.0,192720.925,-254536.0
453,318445.0,203098.015,-256741.0
454,318445.0,206008.02,-337997.0
455,318445.0,186880.525,-446520.0
456,318445.0,197225.48,-231556.0
457,318445.0,199503.54,-336160.0
458,318445.0,193239.67,-341247.0
459,318445.0,196839.725,-456564.0
460,318445.0,213274.485,-255375.0
461,318445.0,193575.23,-450056.0
462,318445.0,197344.72,-254536.0
463,318445.0,212116.165,-433161.0
464,319679.0,202001.41,-342158.0
465,319679.0,203709.165,-450076.0
466,319679.0,197945.66,-374542.0
467,319679.0,186237.77,-432195.0
468,319679.0,219226.04,-259709.0
469,319679.0,206246.5,-359224.0
470,319679.0,210099.485,-434216.0
471,319679.0,204796.385,-213633.0
472,319679.0,208468.58,-559015.0
473,319679.0,200240.94,-241836.0
474,319679.0,200822.725,-232386.0
475,319679.0,202431.965,-413474.0
476,319679.0,205076.105,-325861.0
477,319679.0,195384.375,-458695.0
478,319679.0,209142.155,-448834.0
479,319679.0,202480.035,-453215.0
480,319679.0,206386.46,-584830.0
481,319679.0,215378.91,-261943.0
482,319679.0,201325.2,-331084.0
483,319679.0,200934.32,-224288.0
484,319679.0,217460.705,-222487.0
485,319679.0,194776.175,-344482.0
486,319679.0,191546.435,-332030.0
487,319679.0,187314.86,-329675.0
488,319679.0,200009.74,-333269.0
489,319679.0,195525.24,-364843.0
490,319679.0,216684.305,-124535.0
491,319679.0,205381.285,-336704.0
492,319679.0,202226.56,-232191.0
493,319679.0,222499.775,-442139.0
494,319679.0,201084.08,-543725.0
495,319679.0,214725.4,-234963.0
496,319679.0,200512.13,-428733.0
497,319679.0,196947.54,-442634.0
498,319679.0,189284.515,-438425.0
499,320124.0,214301.545,-343694.0
